Type,Severity,start_time,end_time
Rain,Light,2022-02-23 08:15:36,2022-02-23 09:06:36
Rain,Light,2022-02-23 09:11:36,2022-02-23 17:20:36
Rain,Moderate,2022-02-23 17:20:36,2022-02-23 17:36:36
Rain,Light,2022-02-23 17:36:36,2022-02-23 18:40:36
Rain,Light,2022-02-23 19:09:36,2022-02-23 20:20:36
Fog,Severe,2022-02-23 20:35:36,2022-02-23 20:56:36
Rain,Light,2022-02-23 20:56:36,2022-02-24 00:20:36
Rain,Light,2022-02-24 02:20:36,2022-02-24 05:20:36
Storm,Severe,2022-02-24 14:20:36,2022-02-24 15:20:36
Snow,Light,2022-02-26 04:57:36,2022-02-26 14:20:36
Snow,Light,2022-02-26 16:20:36,2022-02-26 17:20:36
Snow,Light,2022-02-26 22:20:36,2022-02-27 00:20:36
Snow,Light,2022-02-27 01:20:36,2022-02-27 02:20:36
Snow,Light,2022-03-01 22:20:36,2022-03-02 03:20:36
Snow,Light,2022-03-02 04:20:36,2022-03-02 05:20:36
Rain,Light,2022-03-02 05:20:36,2022-03-02 06:32:36
Snow,Light,2022-03-02 06:32:36,2022-03-02 08:20:36
Snow,Light,2022-03-04 23:20:36,2022-03-04 23:37:36
Snow,Light,2022-03-05 02:20:36,2022-03-05 07:20:36
Snow,Light,2022-03-08 02:20:36,2022-03-08 10:20:36
Rain,Light,2022-03-09 13:02:36,2022-03-09 13:56:36
Rain,Moderate,2022-03-09 13:56:36,2022-03-09 14:37:36
Rain,Light,2022-03-09 14:37:36,2022-03-09 23:20:36
Rain,Light,2022-03-13 02:20:36,2022-03-13 07:20:36
Rain,Light,2022-03-13 11:20:36,2022-03-13 12:20:36
Rain,Light,2022-03-13 21:20:36,2022-03-13 23:20:36
Rain,Moderate,2022-03-13 23:20:36,2022-03-14 00:20:36
Rain,Light,2022-03-14 09:20:36,2022-03-14 10:41:36
Rain,Moderate,2022-03-14 10:41:36,2022-03-14 12:20:36
Rain,Light,2022-03-14 13:13:36,2022-03-14 13:54:36
Rain,Light,2022-03-14 18:59:36,2022-03-14 19:20:36
Rain,Light,2022-03-14 20:20:36,2022-03-14 22:20:36
Rain,Light,2022-03-15 00:49:36,2022-03-15 01:20:36
Rain,Light,2022-03-15 01:40:36,2022-03-15 10:57:36
Rain,Light,2022-03-20 04:20:36,2022-03-20 11:20:36
Rain,Light,2022-03-20 12:20:36,2022-03-20 13:20:36
Fog,Moderate,2022-03-20 17:20:36,2022-03-20 18:08:36
Rain,Light,2022-03-20 21:20:36,2022-03-20 22:20:36
Rain,Light,2022-03-20 23:20:36,2022-03-21 06:20:36
Rain,Light,2022-03-21 07:06:36,2022-03-21 08:04:36
Rain,Light,2022-03-24 11:11:36,2022-03-24 11:51:36
Rain,Light,2022-03-24 14:20:36,2022-03-24 18:20:36
Rain,Light,2022-03-24 20:03:36,2022-03-24 22:20:36
Rain,Light,2022-03-24 23:20:36,2022-03-25 00:20:36
Rain,Light,2022-03-27 22:20:36,2022-03-28 00:20:36
Rain,Light,2022-03-28 21:20:36,2022-03-28 23:20:36
Rain,Light,2022-03-29 00:20:36,2022-03-29 01:20:36
Rain,Light,2022-03-29 19:20:36,2022-03-29 21:20:36
Rain,Moderate,2022-03-29 21:20:36,2022-03-29 22:20:36
Rain,Light,2022-03-29 22:20:36,2022-03-30 06:20:36
Snow,Light,2022-03-30 16:20:36,2022-03-30 19:20:36
Snow,Light,2022-03-31 00:20:36,2022-03-31 02:20:36
Rain,Light,2022-04-03 20:20:36,2022-04-03 22:20:36
Rain,Light,2022-04-03 23:20:36,2022-04-04 07:20:36
