EventId,Type,Severity,StartTime(UTC),EndTime(UTC),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-3483549,Rain,Light,2019-01-25 22:20:36,2019-01-26 01:50:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483550,Snow,Light,2019-01-26 02:20:36,2019-01-26 05:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483551,Snow,Light,2019-01-26 16:20:36,2019-01-26 19:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483552,Snow,Light,2019-01-27 08:37:36,2019-01-27 11:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483553,Rain,Light,2019-01-28 15:46:36,2019-01-28 16:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483554,Snow,Light,2019-01-28 16:20:36,2019-01-28 17:56:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483555,Rain,Light,2019-01-30 22:20:36,2019-01-30 23:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483556,Rain,Light,2019-01-31 11:20:36,2019-01-31 12:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483557,Rain,Light,2019-01-31 15:20:36,2019-01-31 16:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483558,Rain,Light,2019-02-02 09:20:36,2019-02-02 12:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483559,Rain,Moderate,2019-02-02 12:20:36,2019-02-02 12:42:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483560,Rain,Light,2019-02-02 12:42:36,2019-02-02 16:16:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483561,Rain,Moderate,2019-02-02 16:16:36,2019-02-02 16:33:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483562,Rain,Light,2019-02-02 16:33:36,2019-02-02 20:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483563,Fog,Severe,2019-02-02 22:28:36,2019-02-03 03:47:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
